source,target
Endothelial 1,kidney efferent arteriole endothelial cell:ovarian microvascular endothelial cell:arcuate artery endothelial cell:|||:epithelial cell of appendix:epithelial cell of large intestine:enteric smooth muscle cell:smooth muscle cell of large intestine:|||:splenic endothelial cell:endometrial microvascular endothelial cells:bladder microvascular endothelial cell:brain microvascular endothelial cell:endothelial cell of vascular tree:prostate gland microvascular endothelial cell:corneal endothelial cell
Endothelial 2,kidney efferent arteriole endothelial cell:ovarian microvascular endothelial cell:prostate gland microvascular endothelial cell:|||:epithelial cell of appendix:epithelial cell of large intestine:enteric smooth muscle cell:smooth muscle cell of cecum:|||:endothelial cell of vascular tree:corneal endothelial cell:splenic endothelial cell:blood vessel endothelial cell:brain microvascular endothelial cell:kidney afferent arteriole endothelial cell:bladder microvascular endothelial cell
Glial,brain macroglial cell:ependymoglial cell:microglial cell:|||:epithelial cell of appendix:epithelial cell of large intestine:enteric smooth muscle cell:smooth muscle cell of large intestine:|||:Fc-epsilon RIalpha-low mast cell progenitor:Fc-epsilon RIalpha-high basophil progenitor cell:Bergmann glial cell:scolopidial sheath cell:scolopidial ligament cell:enterocyte of epithelium of large intestine:epithelial cell of skin gland
Myofibroblasts,fibroblast:kidney interstitial myofibroblast:myofibroblast cell:|||:smooth muscle cell of large intestine:smooth muscle cell of cecum:epithelial cell of large intestine:enteric smooth muscle cell:|||:ooblast:pulmonary interstitial fibroblast:iridoblast:skin fibroblast:glioblast:myoblast:perijunctional fibroblast
Pericyte 1,pericyte cell:placental pericyte:renal interstitial pericyte:|||:epithelial cell of appendix:epithelial cell of large intestine:enteric smooth muscle cell:smooth muscle cell of cecum:|||:brain pericyte:enterocyte:nephrocyte:pituicyte:oocyte:type D cell of colon:chondrocyte
Pericyte 2,pericyte cell:placental pericyte:renal interstitial pericyte:|||:epithelial cell of appendix:epithelial cell of large intestine:enteric smooth muscle cell:smooth muscle cell of cecum:|||:brain pericyte:nephrocyte:enterocyte:oocyte:pituicyte:type D cell of colon:chondrocyte
Pericytes,central nervous system pericyte:renal interstitial pericyte:placental pericyte:|||:epithelial cell of appendix:enteric smooth muscle cell:smooth muscle cell of large intestine:epithelial cell of large intestine:|||:pericyte cell:brain pericyte:nephrocyte:enterocyte:oocyte:pituicyte:chondrocyte
Plasma Cells,cell:plasma cell:IgA plasma cell:|||:epithelial cell of large intestine:epithelial cell of appendix:smooth muscle cell of large intestine:smooth muscle cell of cecum:|||:B cell:T cell:basal cell:IgG plasma cell:IgM plasma cell:IgE plasma cell:mast cell
Smooth Muscle,smooth muscle cell of trachea:smooth muscle cell of bladder:smooth muscle fiber of ileum:|||:smooth muscle cell of large intestine:smooth muscle cell of cecum:enteric smooth muscle cell:epithelial cell of appendix:|||:bronchial smooth muscle cell:vascular associated smooth muscle cell:kidney arteriole smooth muscle cell:kidney afferent arteriole smooth muscle cell:kidney efferent arteriole smooth muscle cell:kidney pelvis smooth muscle cell:smooth muscle myoblast
Stromal 1,"stromal cell of ovarian cortex:prostate stromal cell:mesenchymal stem cell:|||:smooth muscle cell of large intestine:smooth muscle cell of cecum:enteric smooth muscle cell:epithelial cell of large intestine:|||:decidual cell:stromal cell of ovary:placental amniotic mesenchymal stromal cell:stromal cell of endometrium:epithelial cell of distal tubule:CD22-positive, CD38-low small pre-B cell:brush cell of terminal bronchiole"
Stromal 2a,decidual cell:mesenchymal stem cell:placental amniotic mesenchymal stromal cell:|||:smooth muscle cell of cecum:smooth muscle cell of large intestine:enteric smooth muscle cell:epithelial cell of appendix:|||:prostate stromal cell:stromal cell of ovary:myoepithelial cell of terminal lactiferous duct:stromal cell of endometrium:sperm:type D cell of stomach:type A cell of stomach
Stromal 2b,stromal cell of ovarian cortex:stromal cell of ovary:prostate stromal cell:|||:enteric smooth muscle cell:smooth muscle cell of large intestine:smooth muscle cell of cecum:epithelial cell of appendix:|||:mesenchymal stem cell:decidual cell:placental amniotic mesenchymal stromal cell:stromal cell of endometrium:brush cell of terminal bronchiole:sperm:mucous cell of stomach
Stromal 3,stromal cell of ovarian cortex:mesenchymal stem cell:stromal cell of endometrium:|||:smooth muscle cell of large intestine:smooth muscle cell of cecum:enteric smooth muscle cell:epithelial cell of large intestine:|||:decidual cell:stromal cell of ovary:placental amniotic mesenchymal stromal cell:myoepithelial cell of terminal lactiferous duct:type D cell of colon:epithelial cell of proximal tubule:epithelial cell of distal tubule
Stromal 4,stromal cell of ovary:mesenchymal stem cell:stromal cell of endometrium:|||:smooth muscle cell of large intestine:smooth muscle cell of cecum:enteric smooth muscle cell:epithelial cell of large intestine:|||:decidual cell:placental amniotic mesenchymal stromal cell:myoepithelial cell of terminal lactiferous duct:type D cell of colon:epithelial cell of proximal tubule:epithelial cell of distal tubule:type D cell of stomach
