source,target
Best4+ Enterocytes,"enteric smooth muscle cell:epithelial cell of large intestine:smooth muscle cell of large intestine:smooth muscle cell of colon:|||:enterocyte:Bm4 B cell:tendon cell:oocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cementocyte:adipocyte of breast:mesenteric preadipocyte:astrocyte:|||:heterocyst:neutrophil:nephrocyte:osteocyte"
CD4+ Activated Fos-hi,"smooth muscle cell of large intestine:smooth muscle cell of colon:epithelial cell of large intestine:enteric smooth muscle cell:|||:type II pneumocyte:epithelial cell:mature microglial cell:mucosal type mast cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mature astrocyte:inflammatory macrophage:CD38-positive naive B cell:activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human:|||:oligodendrocyte:professional antigen presenting cell:pericyte cell:conventional dendritic cell"
CD4+ Activated Fos-lo,"smooth muscle cell of colon:epithelial cell of large intestine:smooth muscle cell of large intestine:enteric smooth muscle cell:|||:type II pneumocyte:mature microglial cell:epithelial cell:common lymphoid progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mature astrocyte:CD38-positive naive B cell:activated CD4-positive, alpha-beta T cell, human:activated CD8-positive, alpha-beta T cell, human:|||:common dendritic progenitor:oligodendrocyte:type I pneumocyte:professional antigen presenting cell"
CD4+ Memory,"smooth muscle cell of colon:smooth muscle cell of large intestine:enteric smooth muscle cell:epithelial cell of large intestine:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:epithelial cell:mucosal type mast cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:unswitched memory B cell:CD38-positive IgG memory B cell:double negative memory B cell:CD14-positive, CD16-positive monocyte:|||:CD38-positive IgG-negative class switched memory B cell:B220-positive CD38-positive unswitched memory B cell:CD38-negative IgG-negative class switched memory B cell:class switched memory B cell"
CD4+ PD1+,"epithelial cell of large intestine:smooth muscle cell of colon:enteric smooth muscle cell:smooth muscle cell of large intestine:|||:epithelial cell:conventional dendritic cell:alpha-beta intraepithelial T cell:interstitial cell of Cajal:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD16-positive myeloid dendritic cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:CD14-positive dermal dendritic cell:common dendritic progenitor:|||:plasmacytoid dendritic cell:CD4-positive CD11b-positive dendritic cell:CD1a-positive dermal dendritic cell:CD8-positive, CD25-positive, alpha-beta regulatory T cell"
CD69+ Mast,"epithelial cell of large intestine:enteric smooth muscle cell:smooth muscle cell of large intestine:smooth muscle cell of colon:|||:epithelial cell:intraepithelial lymphocyte:megakaryocyte-erythroid progenitor cell:adult endothelial progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD86-positive plasmablast:CD16-positive myeloid dendritic cell:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:|||:type II pneumocyte:conventional dendritic cell:type I pneumocyte:common dendritic progenitor"
CD69- Mast,"epithelial cell of large intestine:smooth muscle cell of large intestine:enteric smooth muscle cell:smooth muscle cell of colon:|||:epithelial cell:megakaryocyte-erythroid progenitor cell:interstitial cell of Cajal:myeloid dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mast cell progenitor:CD86-positive plasmablast:CD14-positive, CD16-negative classical monocyte:CD16-positive myeloid dendritic cell:|||:CD69-positive, CD8-positive single-positive thymocyte:CD69-positive, CD4-positive single-positive thymocyte:CD69-positive double-positive thymocyte:type II pneumocyte"
CD8+ IELs,"enteric smooth muscle cell:smooth muscle cell of colon:smooth muscle cell of large intestine:epithelial cell of large intestine:|||:epithelial cell:intestinal villus goblet cell:microfold cell of epithelium of intestinal villus:common lymphoid progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD8-positive, alpha-beta regulatory T cell:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD8-positive, alpha-beta thymocyte:CD38-positive naive B cell:|||:alpha-beta intraepithelial T cell:CD4-positive, alpha-beta intraepithelial T cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:intraepithelial lymphocyte"
CD8+ IL17+,"epithelial cell of large intestine:smooth muscle cell of colon:enteric smooth muscle cell:smooth muscle cell of large intestine:|||:ILC1:epithelial cell:alpha-beta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD8-positive, alpha-beta regulatory T cell:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD38-positive naive B cell:CD8-positive, alpha-beta thymocyte:|||:CD4-negative CD8-negative gamma-delta intraepithelial T cell:conventional dendritic cell:common dendritic progenitor:CD4-positive, alpha-beta intraepithelial T cell"
CD8+ LP,"epithelial cell of large intestine:smooth muscle cell of colon:enteric smooth muscle cell:smooth muscle cell of large intestine:|||:epithelial cell:eosinophil progenitor cell:neuronal stem cell:CD4-positive, alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD8-positive, alpha-beta regulatory T cell:common dendritic progenitor:common lymphoid progenitor:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:|||:CD86-positive plasmablast:Vgamma5-negative CD8alpha alpha positive gamma-delta intraepithelial T cell:naive thymus-derived CD8-positive, alpha-beta T cell:immature CD8_alpha-negative CD11b-positive dendritic cell"
