source	target	target_id
ACKR1+ endothelium	endothelial cell	CL:0000115
B cells	B cell	CL:0000236
CD36+ endothelium	endothelial cell	CL:0000115
Cycling	UNKNOWN	UNKNOWN
Enterocytes	enterocyte	CL:0000584
Enteroendocrines	enteroendocrine cell	CL:0000164
Fibs	fibroblast	CL:0000057
Glial cells	glial cell	CL:0000125
Goblets	ileal goblet cell	CL:1000326
ILC	innate lymphoid cell	CL:0001065
Lymphatics	endothelial cell of lymphatic vessel	CL:0002138
MNP	mononuclear phagocyte	CL:0000113
Mast cells	mast cell	CL:0000097
Paneth cells	paneth cell	CL:0000510
Pericytes	pericyte cell	CL:0000669
Plasma cells	plasma cell	CL:0000786
Progenitors	intestinal crypt stem cell	CL:0002250
SM	smooth muscle cell of small intestine	CL:1000275
T cells	T cell	CL:0000084
TA	transit amplifying cell of colon	CL:0009011
