source	target	target_id
86_90-year-old human stage	ninth decade human stage	HsapDv:0000243
61_65-year-old human stage	seventh decade human stage	HsapDv:0000241
71_75-year-old human stage	eighth decade human stage	HsapDv:0000242
51_55-year-old human stage	sixth decade human stage	HsapDv:0000240
nan-year-old human stage	unknown	unknown
21_25-year-old human stage	third decade human stage	HsapDv:0000237
81_85-year-old human stage	ninth decade human stage	HsapDv:0000243
41_45-year-old human stage	fifth decade human stage	HsapDv:0000239
56_60-year-old human stage	sixth decade human stage	HsapDv:0000240
66_70-year-old human stage	seventh decade human stage	HsapDv:0000241
46_50-year-old human stage	fifth decade human stage	HsapDv:0000239
76_80-year-old human stage	eighth decade human stage	HsapDv:0000242
31_35-year-old human stage	fourth decade human stage	HsapDv:0000238
