source	target	target_id
1.5month	Carnegie stage 18	HsapDv:0000025
1m	Carnegie stage 13	HsapDv:0000020
1month	Carnegie stage 13	HsapDv:0000020
23days	Carnegie stage 10	HsapDv:0000017
2m	Carnegie stage 23	HsapDv:0000030
2month	Carnegie stage 23	HsapDv:0000030
3.5month	15th week post-fertilization human stage	HsapDv:0000052
3m	13th week post-fertilization human stage	HsapDv:0000050
3month	13th week post-fertilization human stage	HsapDv:0000050
4month	18th week post-fertilization human stage	HsapDv:0000055
5month	22nd week post-fertilization human stage	HsapDv:0000059
6month	26th week post-fertilization human stage	HsapDv:0000063
PCW14	14th week post-fertilization human stage	HsapDv:0000051
PCW15	15th week post-fertilization human stage	HsapDv:0000052
PCW16	16th week post-fertilization human stage	HsapDv:0000053
PCW18	18th week post-fertilization human stage	HsapDv:0000055
d23	Carnegie stage 10	HsapDv:0000017
