source	target	target_id
acinar	pancreatic acinar cell	CL:0002064
activated_stellate	pancreatic stellate cell	CL:0002410
alpha	pancreatic A cell	CL:0000171
beta	type B pancreatic cell	CL:0000169
delta	pancreatic D cell	CL:0000173
ductal	pancreatic ductal cell	CL:0002079
endothelial	endothelial cell	CL:0000115
epsilon	pancreatic epsilon cell	CL:0005019
gamma	pancreatic PP cell	CL:0002275
macrophage	macrophage	CL:0000235
mast	mast cell	CL:0000097
quiescent_stellate	pancreatic stellate cell	CL:0002410
schwann	Schwann cell	CL:0002573
t_cell	T cell	CL:0000084
