source	target	target_id
Airway Smooth Muscle	bronchial smooth muscle cell	CL:0002598
Basal cell	respiratory basal cell	CL:0002633
Bud tip adjacent	UNKNOWN	UNKNOWN
Bud tip progenitor	UNKNOWN	UNKNOWN
Cartilage	chondrocyte	CL:0000138
Club-like secretory	secretory cell	CL:0000151
Endothelial	endothelial cell	CL:0000115
Epithelial	epithelial cell of lung	CL:0000082
Goblet-like secretory	secretory cell	CL:0000151
Hematopoietic, B Cells	B cell	CL:0000236
Hematopoietic, Macrophage	macrophage	CL:0000235
Hematopoietic, Natural Killer Cell	natural killer cell	CL:0000623
Hematopoietic, T Cells	T cell	CL:0000084
Immune	leukocyte	CL:0000738
Intermediate ciliated	ciliated cell	CL:0000064
Mesenchyme RSPO2+	mesenchymal cell	CL:0008019
Mesenchyme SERPINF1-high	mesenchymal cell	CL:0008019
Multiciliated cell	multi-ciliated epithelial cell	CL:0005012
Multiciliated precursor	multi-ciliated epithelial cell	CL:0005012
Neuroendocrine	neuroendocrine cell	CL:0000165
Pericyte	pericyte cell	CL:0000669
RBC	erythrocyte	CL:0000232
Secretory progenitor	secretory cell	CL:0000151
Submucosal gland	UNKNOWN	UNKNOWN
Submucosal gland basal	UNKNOWN	UNKNOWN
