source	target
Endothelial	endothelial cell
Excitatory deep layer 1	excitatory neuron
Excitatory deep layer 2	excitatory neuron
Maturing excitatory	excitatory neuron
Maturing excitatory upper enriched	excitatory neuron
Migrating excitatory	excitatory neuron
IP	neural progenitor cell
Interneuron CGE	interneuron
Interneuron MGE	interneuron
Microglia	microglial cell
OPC	oligodendrocyte precursor cell
Pericyte	pericyte cell
Cycling Progenitors (G2/M phase)	neural progenitor cell
Cycling Progenitors (S phase)	neural progenitor cell
Outer Radial Glia	radial glial cell
Ventricular Radial Glia	radial glial cell
