source	target	target_id
Endothelial Cells (apoptotic?)	endothelial cell	CL:0000115
Endothelial Cells (blood and vascular system associated)	blood vessel endothelial cell	CL:0000071
Endothelial Cells (lymphatics)	endothelial cell of lymphatic vessel	CL:0002138
Granulosa Cells (Mature Cumulus )	granulosa cell	CL:0000501
Granulosa Cells (Mature Cumulus)	granulosa cell	CL:0000501
Granulosa Cells (Mural)	granulosa cell	CL:0000501
Granulosa Cells (early stages of atresia)	granulosa cell	CL:0000501
Granulosa Cells (progenitors)	granulosa cell	CL:0000501
Immune (Adatpive T lymphocytes)	lymphocyte	CL:0000542
Immune (Innate Immune System)	immature innate lymphoid cell	CL:0001082
Immune (Natural Killer Cells)	natural killer cell	CL:0000623
Smooth Muscle Cells (apoptotic?)	smooth muscle cell	CL:0000192
Smooth Muscle Cells (mature)	smooth muscle cell	CL:0000192
Stroma Cells	stromal cell	CL:0000499
Theca Cells	theca cell	CL:0000503
Theca Cells (atretic)	theca cell	CL:0000503
Theca Cells(atretic)	theca cell	CL:0000503
immune (B lymphocytes)	B cell	CL:0000236
