source,target
1,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:fetal liver hematopoietic progenitor cell:liver dendritic cell:liver CD103-negative dendritic cell:Kupffer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:conventional dendritic cell:ILC1:B-1 B cell:|||:CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell:CD34-positive, CD38-positive common myeloid progenitor:Vgamma1.1-positive, Vdelta6.3-positive thymocyte:CD11b-low, CD103-negative, langerin-negative lymph node dendritic cell"
10,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:fetal liver hematopoietic progenitor cell:liver CD103-positive dendritic cell:liver CD103-negative dendritic cell:liver dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:regulatory B cell:naive thymus-derived CD4-positive, alpha-beta T cell:conventional dendritic cell:type I pneumocyte:|||:CD103-negative, langerin-positive lymph node dendritic cell:CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell:CD34-positive, CD38-positive common lymphoid progenitor:CD103-positive dendritic cell"
11,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver CD103-positive dendritic cell:fetal liver hematopoietic progenitor cell:liver CD103-negative dendritic cell:liver dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:conventional dendritic cell:type I pneumocyte:ILC1:Cd4-negative, CD8_alpha-negative, CD11b-positive dendritic cell:|||:CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell:CD27-high, CD11b-high natural killer cell, mouse:CD8_alpha-positive CD11b-negative dendritic cell:immature CD8_alpha-negative CD11b-negative dendritic cell"
12,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:fetal liver hematopoietic progenitor cell:liver CD103-positive dendritic cell:liver CD103-negative dendritic cell:Kupffer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type II pneumocyte:conventional dendritic cell:plasmacytoid dendritic cell:type I pneumocyte:|||:myeloid dendritic cell:mature CD8 single-positive thymocyte:type 1 otic fibrocyte:type I muscle cell"
13,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver CD103-negative dendritic cell:Kupffer cell:liver dendritic cell:fetal liver hematopoietic progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:conventional dendritic cell:ILC1:group 3 innate lymphoid cell:|||:prostate stem cell:CD34-positive, CD38-negative hematopoietic stem cell:immature CD1a-positive Langerhans cell:CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell"
14,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:Kupffer cell:fetal liver hematopoietic progenitor cell:liver CD103-positive dendritic cell:liver CD103-negative dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:conventional dendritic cell:ILC1:CD4-positive CD11b-positive dendritic cell:|||:mature CD14-positive dermal dendritic cell:CD14-positive, CD16-positive monocyte:CD14-positive, CD16-negative classical monocyte:CD141-positive myeloid dendritic cell"
15,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver CD103-positive dendritic cell:Kupffer cell:liver dendritic cell:fetal liver hematopoietic progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:conventional dendritic cell:type I pneumocyte:ILC1:CD1a-positive Langerhans cell:|||:CD115-positive monocyte:CD115-positive monocyte OR common dendritic progenitor:CD34-positive, CD38-positive common myeloid progenitor:CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell"
16,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver CD103-positive dendritic cell:Kupffer cell:fetal liver hematopoietic progenitor cell:liver CD103-negative dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD16-positive myeloid dendritic cell:conventional dendritic cell:type I pneumocyte:ILC1:|||:CD56-positive, CD161-positive immature natural killer cell, human:mature CD16-positive myeloid dendritic cell:CD14-positive, CD16-positive monocyte:CD14-low, CD16-positive monocyte"
17,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:T-helper 17 cell:Kupffer cell:liver CD103-positive dendritic cell:liver CD103-negative dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:conventional dendritic cell:Tc17 cell:ILC1:|||:CD27-negative gamma-delta T cell:CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell:CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell:Kit-positive, CD34-positive common myeloid progenitor"
18,"mesodermal cell:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:|||:liver CD103-negative dendritic cell:Kupffer cell:fetal liver hematopoietic progenitor cell:liver dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:conventional dendritic cell:ILC1:CD8_alpha-positive CD11b-negative dendritic cell:|||:regulatory B cell:type I muscle cell:Bm1 B cell:T3 B cell"
