source	target
0	"primordial germ cell:mesodermal cell:cardiac muscle myoblast:epicardial adipocyte:|||:cardiocyte:cardiac muscle cell:cochlear inner hair cell:fibroblast of the aortic adventitia:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:naive thymus-derived CD4-positive, alpha-beta T cell:regulatory B cell:B-2 B cell:F4/80-positive adipose macrophage:|||:B220-positive CD38-negative unswitched memory B cell:B220-positive CD38-positive IgG-negative class switched memory B cell:CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell:CD11b-low, CD103-negative, langerin-negative lymph node dendritic cell"
AT1 cell	"mesodermal cell:pneumocyte:epithelial cell of lung:mesothelial cell of visceral pleura:|||:type I pneumocyte:pro-T cell:Tr1 cell:fat cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Tc1 cell:T-helper 1 cell:T cell:Tc17 cell:|||:beige adipocyte:brown fat cell:adipocyte of epicardial fat of right ventricle:pancreatic stellate cell"
AT1 cell 	"mesodermal cell:epithelial cell of lung:pneumocyte:mesothelial cell of visceral pleura:|||:type I pneumocyte:pro-T cell:T-helper 1 cell:Tc1 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Tr1 cell:fat cell:T cell:mast cell:|||:mast cell progenitor:type II cell of carotid body:adipocyte of breast:Kupffer cell"
AT2 cell	"mesodermal cell:pneumocyte:epithelial cell of lung:mesothelial cell of visceral pleura:|||:type II pneumocyte:DN2 thymocyte:fat cell:Tc2 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:T-helper 2 cell:T cell:mast cell:T-helper 22 cell:|||:brown fat cell:beige adipocyte:intermediate trophoblast cell:mature gamma-delta T cell"
Absorptive cell	enteric smooth muscle cell:smooth muscle cell of small intestine:epithelial cell of small intestine:|||:absorptive cell:gut absorptive cell:Be cell:type N enteroendocrine cell:|||:absorptive cell:cartwheel heterochromatin:transitional stage B cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:supportive cell:native cell:enterocyte of epithelium of large intestine:endothelial cell of venous sinus of spleen
Acinar cell_CLPS high	"pancreatic acinar cell:pancreatic centro-acinar cell:epithelial cell of exocrine pancreas:pancreatic A cell:|||:acinar cell:common lymphoid progenitor:R3 photoreceptor cell:R8 photoreceptor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:acinar cell of sebaceous gland:acinar cell of salivary gland:enterocyte of epithelium of large intestine:amacrine cell:|||:R7 photoreceptor cell:R2 photoreceptor cell:R1 photoreceptor cell:R6 photoreceptor cell"
Acinar cell_CPA1 high	"pancreatic acinar cell:pancreatic centro-acinar cell:epithelial cell of exocrine pancreas:pancreatic A cell:|||:acinar cell:R5 photoreceptor cell:Kolmer-Agduhr neuron:R1 photoreceptor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:acinar cell of salivary gland:acinar cell of sebaceous gland:apocrine cell:amacrine cell:|||:R6 photoreceptor cell:R2 photoreceptor cell:R3 photoreceptor cell:R4 photoreceptor cell"
Acinar cell_CPA2 high	"pancreatic acinar cell:pancreatic centro-acinar cell:epithelial cell of exocrine pancreas:pancreatic A cell:|||:acinar cell:R5 photoreceptor cell:Kolmer-Agduhr neuron:R1 photoreceptor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:acinar cell of salivary gland:acinar cell of sebaceous gland:apocrine cell:amacrine cell:|||:R2 photoreceptor cell:R8 photoreceptor cell:R7 photoreceptor cell:R3 photoreceptor cell"
Acinar cell_REG1B high	"pancreatic acinar cell:pancreatic centro-acinar cell:pancreatic A cell:epithelial cell of exocrine pancreas:|||:acinar cell:R3 photoreceptor cell:R5 photoreceptor cell:R2 photoreceptor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:acinar cell of sebaceous gland:acinar cell of salivary gland:trichogen cell:sensory hair cell:|||:R6 photoreceptor cell:R1 photoreceptor cell:Kolmer-Agduhr neuron:R8 photoreceptor cell"
Acniar cell_ANXA4 high	"pancreatic acinar cell:pancreatic centro-acinar cell:pancreatic A cell:type B pancreatic cell:|||:acinar cell:R2 photoreceptor cell:R3 photoreceptor cell:Kolmer-Agduhr neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:animal cell:acinar cell of salivary gland:trichogen cell:sensory hair cell:|||:R8 photoreceptor cell:R5 photoreceptor cell:R6 photoreceptor cell:R4 photoreceptor cell"
Activated T cell	"mesodermal cell:endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:epithelial cell of alimentary canal:|||:T cell:gamma-delta T cell:activated CD4-positive, alpha-beta T cell, human:activated CD8-positive, alpha-beta T cell, human:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:activated type II NK T cell:ciliated cell:mature astrocyte:native cell:|||:nodal myocyte:type D enteroendocrine cell:parafollicular cell:type N enteroendocrine cell"
Actived T cell	"pneumocyte:mesodermal cell:epithelial cell of lung:mesothelial cell of visceral pleura:|||:T cell:gamma-delta T cell:nodal myocyte:Feyrter cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:native cell:activated CD4-positive, alpha-beta T cell, human:activated CD8-positive, alpha-beta T cell, human:naive thymus-derived CD8-positive, alpha-beta T cell:|||:double negative thymocyte:plasmacytoid dendritic cell:immature Vgamma1.1-positive, Vdelta6.3-negative thymocyte:mature Vgamma1.1-positive, Vdelta6.3-negative thymocyte"
Adenocarcinoma epithelial cell	"adrenal medulla chromaffin cell:|||:epithelial cell:adepithelial cell:glial cell:myoepithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:pneumocyte:epithelial cell of pancreas:endocardial cell:corneal epithelial cell:|||:pericyte cell:Kolmer-Agduhr neuron:epithelial cell of lung:endo-epithelial cell"
Adipocyte _FGR high	":|||:fat cell:hepatic stellate cell:oocyte:cardiocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:adipocyte of breast:preadipocyte of the breast:preadipocyte:epicardial adipocyte:|||:cardiac muscle cell:adipocyte of epicardial fat of right ventricle:amniocyte:ionocyte"
Adipocyte_SPP1 high	":|||:fat cell:hepatic stellate cell:oocyte:brown fat cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:preadipocyte:cardiocyte:cardiac muscle cell:beige adipocyte:|||:amniocyte:glomerular visceral epithelial cell:ionocyte:cortical thymic epithelial cell"
Adipose tissue	"adaxial cell:cell of skeletal muscle:|||:skeletal muscle myoblast:mesenchymal stem cell:type II pneumocyte:type I pneumocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:fat cell:adipocyte of omentum tissue:adipose dendritic cell:brown fat cell:|||:fibroblast of cardiac tissue:white fat cell:macrophage dendritic cell progenitor:plasmacytoid dendritic cell"
Adrenocortical cell	"adrenal medulla chromaffin cell:|||:cortical cell of adrenal gland:cap cell:Kolmer-Agduhr neuron:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:kidney cortical cell:pericyte cell:endocardial cell:adventitial cell"
Adrenocortical cell_NOV high	"adrenal medulla chromaffin cell:|||:cortical cell of adrenal gland:cap cell:Kolmer-Agduhr neuron:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:kidney cortical cell:endocardial cell:pericyte cell:adventitial cell:|||:B cell:retinal cell:M cell of gut:Feyrter cell"
Adrenocortical cell_TPM2 high	"adrenal medulla chromaffin cell:|||:cortical cell of adrenal gland:cap cell:Kolmer-Agduhr neuron:Feyrter cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:kidney cortical cell:pericyte cell:adventitial cell:endocardial cell:|||:M cell of gut:T cell:type G enteroendocrine cell:nodal myocyte"
Airway smooth muscle cell	"pneumocyte:mesodermal cell:mesothelial cell of visceral pleura:epithelial cell of lung:|||:muscle cell:smooth muscle cell:Be cell:aortic smooth muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:vascular associated smooth muscle cell:ureter smooth muscle cell:arcuate vein smooth muscle cell:bronchial smooth muscle cell:|||:kidney artery smooth muscle cell:arcuate artery smooth muscle cell:interlobulary artery smooth muscle cell:enteric smooth muscle cell"
Alpha cell	"pancreatic A cell:type B pancreatic cell:pancreatic D cell:pancreatic PP cell:|||:H minus:Kolmer-Agduhr neuron:M cell of gut:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:keratinocyte:mature natural killer cell:cap cell:hyphal cell:|||:acidophil cell of pars distalis of adenohypophysis:B cell:T cell:type G enteroendocrine cell"
Alveolar bipotent/intermediate cell	"pneumocyte:epithelial cell of lung:mesodermal cell:basal cell of epithelium of lobular bronchiole:|||:fat cell:Be cell:T cell:type G enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:strial intermediate cell:type II pneumocyte:pluripotent stem cell:type I pneumocyte:|||:M cell of gut:parafollicular cell:B cell:type D enteroendocrine cell"
Antigen presenting cell	"gastric goblet cell:mucous cell of stomach:|||:type G enteroendocrine cell:professional antigen presenting cell:kidney granular cell:natural killer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:androgen secreting cell:gastrin secreting cell:collagen secreting cell:antibody secreting cell:|||:T cell:M cell of gut:type D enteroendocrine cell:parafollicular cell"
Antigen-presenting cell	"ciliated epithelial cell of esophagus:epithelial cell of stratum germinativum of esophagus:|||:type G enteroendocrine cell:kidney granular cell:natural killer cell:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:professional antigen presenting cell:antibody secreting cell:androgen secreting cell:glycosaminoglycan secreting cell:|||:type N enteroendocrine cell:B cell:parafollicular cell:type D enteroendocrine cell"
Arterial endothelial cell	"pneumocyte:epithelial cell of lung:mesodermal cell:mesothelial cell of visceral pleura:|||:endothelial cell:endothelial cell of artery:glial cell:corneal endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:aortic endothelial cell:endocardial cell:vein endothelial cell:arcuate vein endothelial cell"
Arterial endothelial cell_GJA5 high	"primordial germ cell:primitive red blood cell:epicardial adipocyte:cardiac septum cell:|||:endothelial cell:endothelial cell of artery:glial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:aortic endothelial cell:corneal endothelial cell:endocardial cell:arcuate vein endothelial cell:|||:urothelial cell:vein endothelial cell:Kolmer-Agduhr neuron:gut endothelial cell"
Artry endothelial cell	"pneumocyte:epithelial cell of lung:mesodermal cell:mesothelial cell of visceral pleura:|||:endothelial cell:gut endothelial cell:glial cell:umbilical artery endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endothelial cell of artery:aortic endothelial cell:capillary endothelial cell:arcuate artery endothelial cell:|||:interlobulary artery endothelial cell:thoracic aorta endothelial cell:placental villus capillary endothelial cell:peritubular capillary endothelial cell"
Astrocyte	"gastrula cell:cerebellar Golgi cell:Purkinje cell:|||:astrocyte:mast cell:oocyte:cerebellum basket cell:|||:astrocyte:mature gamma-delta T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:fetal derived definitive erythrocyte:osteocyte:plasmatocyte:cardiocyte"
Astrocyte(Bergmann glia)	"cerebellar Golgi cell:gastrula cell:Purkinje cell:|||:astrocyte:mast cell:oocyte:Bergmann glial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mature astrocyte:immature astrocyte:astrocyte of the forebrain:astrocyte of the spinal cord:|||:fetal derived definitive erythrocyte:osteocyte:cortical thymic epithelial cell:acinar cell of sebaceous gland"
Atrial cardiomyocyte_MT high	"epicardial adipocyte:cardiac muscle myoblast:gestational hematopoietic stem cell:fetal derived definitive erythrocyte:|||:muscle cell:cardiac muscle cell:fetal cardiomyocyte:oocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:regular atrial cardiac myocyte:regular interatrial cardiac myocyte:myocyte of sinoatrial node:regular cardiac myocyte:|||:myelocyte:glomerular visceral epithelial cell:type II pneumocyte:monocyte"
Atrial cardiomyocyte_MYH6 high	"epicardial adipocyte:cardiac muscle myoblast:gestational hematopoietic stem cell:fetal derived definitive erythrocyte:|||:cardiac muscle cell:muscle cell:fetal cardiomyocyte:oocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:regular atrial cardiac myocyte:regular interatrial cardiac myocyte:regular cardiac myocyte:myocyte of sinoatrial node:|||:myelocyte:promyelocyte:type II pneumocyte:CD14-positive monocyte"
Atrial cardiomyocyte_NPPA high	"epicardial adipocyte:cardiac muscle myoblast:fetal derived definitive erythrocyte:gestational hematopoietic stem cell:|||:muscle cell:cardiac muscle cell:fetal cardiomyocyte:oocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:regular atrial cardiac myocyte:regular interatrial cardiac myocyte:regular cardiac myocyte:myocyte of sinoatrial node:|||:myelocyte:ionocyte:promyelocyte:CD14-positive monocyte"
B cell	cerebellar Golgi cell:gastrula cell:Purkinje cell:|||:B cell:marginal zone B cell:B-2 B cell:Be cell:|||:B cell:cartwheel heterochromatin:transitional stage B cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:B-1 B cell:regulatory B cell:Be1 Cell:B-1a B cell
B cell (Centrocyte)	"intrahepatic cholangiocyte:epithelial cell of alimentary canal:endothelial cell of hepatic sinusoid:mesodermal cell:|||:B cell:Bm4 B cell:enterocyte:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cementocyte:keratocyte:columnar chondrocyte:dermal melanocyte:|||:B-1 B cell:Be cell:Feyrter cell:nodal myocyte"
B cell (Plasmocyte)	"adrenal medulla chromaffin cell:|||:plasma cell:B cell:T3 B cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmatocyte:embryonic gland plasmatocyte:lymph gland plasmatocyte:B-2 B cell:|||:muscle cell:Be cell:type D enteroendocrine cell:T cell"
B cell (Plasmocyte)_IGHA high	"epithelial cell of stratum germinativum of esophagus:ciliated epithelial cell of esophagus:|||:B cell:plasma cell:B-2 B cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:lymph gland plasmatocyte:embryonic gland plasmatocyte:plasmatocyte:brush cell of terminal bronchiole:|||:Be cell:muscle cell:T cell:type D enteroendocrine cell"
B cell (Plasmocyte)_IGHA/HG high	"gastric goblet cell:mucous cell of stomach:|||:B cell:plasma cell:germinal center B cell:muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:embryonic gland plasmatocyte:brush cell of terminal bronchiole:pre-B-I cell:pro-B cell:|||:B-1 B cell:B-2 B cell:Be cell:type G enteroendocrine cell"
B cell (Plasmocyte)_IGHA/HM high	"intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:mesodermal cell:|||:B cell:plasma cell:Be cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:embryonic gland plasmatocyte:pro-B cell:pre-B-I cell:brush cell of terminal bronchiole:|||:muscle cell:B-2 B cell:T cell:plasmatocyte"
B cell (Plasmocyte)_IGHA/HM_IGK high	"endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:epithelial cell of alimentary canal:mesodermal cell:|||:B cell:plasma cell:muscle cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type B pancreatic cell:embryonic gland plasmatocyte:pancreatic PP cell:basal cell of epithelium of terminal bronchiole:|||:B-2 B cell:B-1 B cell:oocyte:T cell"
B cell (Plasmocyte)_IGHA/HM_IGL high	"intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:mesodermal cell:|||:plasma cell:B cell:Be cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:brush cell of terminal bronchiole:basal cell of olfactory epithelium:basal cell of epithelium of terminal bronchiole:type B pancreatic cell:|||:muscle cell:B-1 B cell:Feyrter cell:oocyte"
B cell (Plasmocyte)_IGHA_IGK high	"epithelial cell of appendix:epithelial cell of large intestine:smooth muscle cell of large intestine:smooth muscle cell of cecum:|||:plasma cell:B cell:follicular B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type B pancreatic cell:pancreatic PP cell:lymph gland plasmatocyte:embryonic gland plasmatocyte:|||:B-1 B cell:Be cell:muscle cell:T cell"
B cell (Plasmocyte)_IGHA_IGL high	"epithelial cell of appendix:epithelial cell of large intestine:enteric smooth muscle cell:smooth muscle cell of large intestine:|||:plasma cell:B cell:follicular B cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basal cell of epithelium of terminal bronchiole:type B pancreatic cell:brush cell of terminal bronchiole:basal cell of olfactory epithelium:|||:muscle cell:B-2 B cell:B-1 B cell:plasmatocyte"
B cell (Plasmocyte)_IGHG high	"endothelial cell of artery:smooth muscle cell of the internal thoracic artery:smooth muscle cell of the subclavian artery:|||:plasma cell:B cell:muscle cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:embryonic gland plasmatocyte:plasmatocyte:lymph gland plasmatocyte:basal cell of olfactory epithelium:|||:B-1 B cell:B-2 B cell:oocyte:type N enteroendocrine cell"
B cell (Plasmocyte)_IGHG/HA high	"epithelial cell of small intestine:smooth muscle cell of small intestine:enteric smooth muscle cell:|||:B cell:plasma cell:marginal zone B cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:embryonic gland plasmatocyte:basal cell of epithelium of terminal bronchiole:lymph gland plasmatocyte:type B pancreatic cell:|||:Be cell:muscle cell:B-2 B cell:M cell of gut"
B cell (Plasmocyte)_IGHG/HA_IGK high	"pancreatic goblet cell:epithelial cell of small intestine:smooth muscle cell of small intestine:microfold cell of epithelium proper of duodenum:|||:plasma cell:B cell:marginal zone B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type B pancreatic cell:pancreatic PP cell:embryonic gland plasmatocyte:basal cell of olfactory epithelium:|||:Be cell:B-1 B cell:muscle cell:type N enteroendocrine cell"
B cell (Plasmocyte)_IGHG3 high	":|||:B cell:plasma cell:follicular B cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:lymph gland plasmatocyte:embryonic gland plasmatocyte:plasmatocyte:basal cell of olfactory epithelium:|||:muscle cell:B-2 B cell:B-1 B cell:T cell"
B cell (Plasmocyte)_IGHG_IGK high	"epithelial cell of appendix:epithelial cell of large intestine:smooth muscle cell of large intestine:smooth muscle cell of cecum:|||:plasma cell:B cell:follicular B cell:muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:embryonic gland plasmatocyte:lymph gland plasmatocyte:type B pancreatic cell:basal cell of olfactory epithelium:|||:B-1 B cell:Be cell:B-2 B cell:nodal myocyte"
B cell (Plasmocyte)_IGHG_IGL high	"intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:mesodermal cell:|||:B cell:plasma cell:B-1 B cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basal cell of olfactory epithelium:lymph gland plasmatocyte:embryonic gland plasmatocyte:globose cell of olfactory epithelium:|||:B-2 B cell:muscle cell:Feyrter cell:nodal myocyte"
B cell (Plasmocyte)_IGHM/HA_IGK high	"pancreatic goblet cell:enterocyte of epithelium of duodenal gland:epithelial cell of small intestine:enteric smooth muscle cell:|||:B cell:plasma cell:marginal zone B cell:muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type B pancreatic cell:embryonic gland plasmatocyte:pancreatic PP cell:basal cell of olfactory epithelium:|||:Be cell:B-2 B cell:B-1 B cell:Feyrter cell"
B cell (Plasmocyte)_IGHM/HA_IGL high	"pancreatic goblet cell:epithelial cell of small intestine:enteric smooth muscle cell:smooth muscle cell of small intestine:|||:plasma cell:B cell:marginal zone B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:brush cell of terminal bronchiole:basal cell of epithelium of terminal bronchiole:type B pancreatic cell:basal cell of olfactory epithelium:|||:B-1 B cell:Be cell:muscle cell:type D enteroendocrine cell"
