source,target
Adventitial Fibroblast_P1,"pneumocyte:mesodermal cell:epithelial cell of lower respiratory tract:epithelial cell of lung:|||:fibroblast:ooblast:iridoblast:skin fibroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:kidney interstitial fibroblast:cardiac ventricle fibroblast:fibroblast of cardiac tissue:kidney interstitial myofibroblast:|||:glioblast:keratocyte:pulmonary interstitial fibroblast:myoblast"
Adventitial Fibroblast_P2,"mesodermal cell:pneumocyte:epithelial cell of lower respiratory tract:epithelial cell of lung:|||:fibroblast:ooblast:skin fibroblast:iridoblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:kidney interstitial fibroblast:cardiac ventricle fibroblast:fibroblast of cardiac tissue:kidney interstitial myofibroblast:|||:keratocyte:glioblast:pulmonary interstitial fibroblast:type II pneumocyte"
Adventitial Fibroblast_P3,"mesodermal cell:pneumocyte:epithelial cell of lower respiratory tract:epithelial cell of lung:|||:fibroblast:ooblast:skin fibroblast:iridoblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:kidney interstitial fibroblast:cardiac ventricle fibroblast:fibroblast of cardiac tissue:kidney interstitial myofibroblast:|||:glioblast:keratocyte:pulmonary interstitial fibroblast:type II pneumocyte"
Airway Smooth Muscle_P1,"pneumocyte:basal cell of epithelium of lobular bronchiole:mesothelial cell of visceral pleura:serous cell of epithelium of lobular bronchiole:|||:smooth muscle cell:mesenchymal stem cell:H minus:kidney artery smooth muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:aortic smooth muscle cell:smooth muscle myoblast:arcuate artery smooth muscle cell:vascular associated smooth muscle cell:|||:interlobulary artery smooth muscle cell:enteric smooth muscle cell:bronchial smooth muscle cell:sphincter associated smooth muscle cell"
Airway Smooth Muscle_P2,"pneumocyte:basal cell of epithelium of lobular bronchiole:mesothelial cell of visceral pleura:serous cell of epithelium of lobular bronchiole:|||:smooth muscle cell:mesenchymal stem cell:H minus:interlobulary vein smooth muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:aortic smooth muscle cell:smooth muscle myoblast:vascular associated smooth muscle cell:arcuate artery smooth muscle cell:|||:interlobulary artery smooth muscle cell:kidney artery smooth muscle cell:enteric smooth muscle cell:bronchial smooth muscle cell"
Airway Smooth Muscle_P3,"pneumocyte:basal cell of epithelium of lobular bronchiole:mesothelial cell of visceral pleura:serous cell of epithelium of lobular bronchiole:|||:smooth muscle cell:mesenchymal stem cell:H minus:interlobulary vein smooth muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:aortic smooth muscle cell:smooth muscle myoblast:arcuate artery smooth muscle cell:vascular associated smooth muscle cell:|||:interlobulary artery smooth muscle cell:kidney artery smooth muscle cell:enteric smooth muscle cell:bronchial smooth muscle cell"
Alveolar Epithelial Type 1_P1,"pneumocyte:epithelial cell of lung:basal cell of epithelium of lobular bronchiole:mesothelial cell of visceral pleura:|||:epithelial cell:adepithelial cell:type II pneumocyte:sensory epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:simple columnar epithelial cell:glandular epithelial cell:olfactory epithelial cell:|||:lens epithelial cell:respiratory epithelial cell:mammary gland epithelial cell:epithelial cell of cervix"
Alveolar Epithelial Type 1_P2,"pneumocyte:epithelial cell of lung:basal cell of epithelium of lobular bronchiole:mesothelial cell of visceral pleura:|||:epithelial cell:adepithelial cell:type II pneumocyte:sensory epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:simple columnar epithelial cell:olfactory epithelial cell:glandular epithelial cell:|||:lens epithelial cell:respiratory epithelial cell:mammary gland epithelial cell:epithelial cell of cervix"
Alveolar Epithelial Type 1_P3,"pneumocyte:epithelial cell of lung:basal cell of epithelium of lobular bronchiole:mesothelial cell of visceral pleura:|||:epithelial cell:type II pneumocyte:adepithelial cell:sensory epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:simple columnar epithelial cell:glandular epithelial cell:olfactory epithelial cell:|||:lens epithelial cell:mammary gland epithelial cell:respiratory epithelial cell:epithelial cell of cervix"
Alveolar Epithelial Type 2_P1,"pneumocyte:epithelial cell of lung:basal cell of epithelium of lobular bronchiole:mesothelial cell of visceral pleura:|||:epithelial cell:adepithelial cell:type II pneumocyte:sensory epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:simple columnar epithelial cell:olfactory epithelial cell:glandular epithelial cell:|||:lens epithelial cell:epithelial cell of cervix:respiratory epithelial cell:mammary gland epithelial cell"
Alveolar Epithelial Type 2_P2,"pneumocyte:epithelial cell of lung:basal cell of epithelium of lobular bronchiole:mesothelial cell of visceral pleura:|||:epithelial cell:adepithelial cell:type II pneumocyte:sensory epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:T-helper 22 cell:glandular epithelial cell:simple columnar epithelial cell:|||:lens epithelial cell:epithelial cell of cervix:olfactory epithelial cell:mammary gland epithelial cell"
Alveolar Epithelial Type 2_P3,"pneumocyte:epithelial cell of lung:basal cell of epithelium of lobular bronchiole:mesothelial cell of visceral pleura:|||:epithelial cell:adepithelial cell:type II pneumocyte:sensory epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:glandular epithelial cell:simple columnar epithelial cell:olfactory epithelial cell:|||:lens epithelial cell:epithelial cell of cervix:mammary gland epithelial cell:respiratory epithelial cell"
Alveolar Fibroblast_P1,"pneumocyte:mesodermal cell:epithelial cell of lower respiratory tract:brush cell of lobular bronchiole:|||:fibroblast:ooblast:iridoblast:ovarian fibroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:gallbladder fibroblast:pulmonary interstitial fibroblast:marrow fibroblast:splenic fibroblast:|||:glioblast:myoblast:skin fibroblast:keratocyte"
Alveolar Fibroblast_P2,"pneumocyte:mesodermal cell:epithelial cell of lower respiratory tract:brush cell of lobular bronchiole:|||:fibroblast:ooblast:iridoblast:glioblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:gallbladder fibroblast:ovarian fibroblast:pulmonary interstitial fibroblast:marrow fibroblast:|||:myoblast:skin fibroblast:fibroblast of cardiac tissue:keratocyte"
Alveolar Fibroblast_P3,"pneumocyte:mesodermal cell:epithelial cell of lower respiratory tract:brush cell of lobular bronchiole:|||:fibroblast:ooblast:iridoblast:glioblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:gallbladder fibroblast:ovarian fibroblast:marrow fibroblast:pulmonary interstitial fibroblast:|||:myoblast:skin fibroblast:fibroblast of cardiac tissue:splenic fibroblast"
Artery_P1,"pneumocyte:mesodermal cell:epithelial cell of lower respiratory tract:mesothelial cell of visceral pleura:|||:type I pneumocyte:gamete:pericyte cell:type II pneumocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:arthroconidium:primitive erythroid progenitor:mast cell:fetal derived definitive erythrocyte:|||:arcuate artery endothelial cell:smooth muscle cell of the umbilical artery:smooth muscle cell of the internal thoracic artery:smooth muscle cell of the coronary artery"
Artery_P2,"pneumocyte:mesodermal cell:epithelial cell of lower respiratory tract:mesothelial cell of visceral pleura:|||:pericyte cell:type II pneumocyte:gamete:type I pneumocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:arthroconidium:primitive erythroid progenitor:mast cell:fetal derived definitive erythrocyte:|||:interlobulary artery endothelial cell:arcuate artery cell:smooth muscle cell of the subclavian artery:smooth muscle cell of the umbilical artery"
Artery_P3,"pneumocyte:mesodermal cell:epithelial cell of lower respiratory tract:mesothelial cell of visceral pleura:|||:type II pneumocyte:gamete:pericyte cell:type I pneumocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:arthroconidium:primitive erythroid progenitor:astrocyte:mast cell:|||:interlobulary artery smooth muscle cell:arcuate artery cell:smooth muscle cell of the carotid artery:smooth muscle cell of the subclavian artery"
B_P1,"mesodermal cell:pneumocyte:basal cell of epithelium of lobular bronchiole:epithelial cell of lung:|||:basophil progenitor cell:type II pneumocyte:type I pneumocyte:epithelial cell of appendix:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basophil mast progenitor cell:B-1 B cell:Be1 Cell:B-1a B cell:|||:pigmented ciliary epithelial cell:kidney loop of Henle ascending limb epithelial cell:type-1 epithelial cell of thymus:type I muscle cell"
B_P2,"mesodermal cell:pneumocyte:basal cell of epithelium of lobular bronchiole:epithelial cell of lung:|||:type II pneumocyte:type I pneumocyte:basophil progenitor cell:fungal spore:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basophil mast progenitor cell:B-2 B cell:basophil:pigmented ciliary epithelial cell:|||:OFF-bipolar cell:B220-positive CD38-positive IgG-negative class switched memory B cell:B220-low CD38-positive IgG-negative class switched memory B cell:type IIb muscle cell"
B_P3,"mesodermal cell:pneumocyte:epithelial cell of lung:basal cell of epithelium of lobular bronchiole:|||:type II pneumocyte:basophil progenitor cell:type I pneumocyte:lung microvascular endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basophil mast progenitor cell:pigmented ciliary epithelial cell:basophil:Bm3 B cell:|||:fibroblast of subepithelial connective tissue of prostatic gland:CD11b-positive dendritic cell:type 6 cone bipolar cell (sensu Mus):type 7 cone bipolar cell (sensu Mus)"
