source	target	target_id
Astro_AMY	astrocyte	CL:0000127
Astro_AMY_CTX	astrocyte	CL:0000127
Astro_CTX	astrocyte	CL:0000127
Astro_HPC	astrocyte	CL:0000127
Astro_HYPO	astrocyte	CL:0000127
Astro_STR	astrocyte	CL:0000127
Astro_THAL_hab	astrocyte	CL:0000127
Astro_THAL_lat	astrocyte	CL:0000127
Astro_THAL_med	astrocyte	CL:0000127
Astro_WM	astrocyte	CL:0000127
Endo	endothelial cell	CL:0000115
Ext_Amy_1	glutamatergic neuron	CL:0000679
Ext_Amy_2	glutamatergic neuron	CL:0000679
Ext_ClauPyr	glutamatergic neuron	CL:0000679
Ext_Hpc_CA1	glutamatergic neuron	CL:0000679
Ext_Hpc_CA2	glutamatergic neuron	CL:0000679
Ext_Hpc_CA3	glutamatergic neuron	CL:0000679
Ext_Hpc_DG1	glutamatergic neuron	CL:0000679
Ext_Hpc_DG2	glutamatergic neuron	CL:0000679
Ext_L23	glutamatergic neuron	CL:0000679
Ext_L25	glutamatergic neuron	CL:0000679
Ext_L56	glutamatergic neuron	CL:0000679
Ext_L5_1	glutamatergic neuron	CL:0000679
Ext_L5_2	glutamatergic neuron	CL:0000679
Ext_L5_3	glutamatergic neuron	CL:0000679
Ext_L6	glutamatergic neuron	CL:0000679
Ext_L6B	glutamatergic neuron	CL:0000679
Ext_Med	glutamatergic neuron	CL:0000679
Ext_Pir	glutamatergic neuron	CL:0000679
Ext_Thal_1	glutamatergic neuron	CL:0000679
Ext_Thal_2	glutamatergic neuron	CL:0000679
Ext_Unk_1	glutamatergic neuron	CL:0000679
Ext_Unk_2	glutamatergic neuron	CL:0000679
Ext_Unk_3	glutamatergic neuron	CL:0000679
Inh_1	GABAergic neuron	CL:0000617
Inh_2	GABAergic neuron	CL:0000617
Inh_3	GABAergic neuron	CL:0000617
Inh_4	GABAergic neuron	CL:0000617
Inh_5	GABAergic neuron	CL:0000617
Inh_6	GABAergic neuron	CL:0000617
Inh_Lamp5	GABAergic neuron	CL:0000617
Inh_Meis2_1	GABAergic neuron	CL:0000617
Inh_Meis2_2	GABAergic neuron	CL:0000617
Inh_Meis2_3	GABAergic neuron	CL:0000617
Inh_Meis2_4	GABAergic neuron	CL:0000617
Inh_Pvalb	GABAergic neuron	CL:0000617
Inh_Sst	GABAergic neuron	CL:0000617
Inh_Vip	GABAergic neuron	CL:0000617
LowQ_1	unknown	unknown
LowQ_2	unknown	unknown
Micro	microglial cell	CL:0000129
Nb_1	unknown	unknown
Nb_2	unknown	unknown
OPC_1	oligodendrocyte precursor cell	CL:0002453
OPC_2	oligodendrocyte precursor cell	CL:0002453
Oligo_1	oligodendrocyte	CL:0000128
Oligo_2	oligodendrocyte	CL:0000128
Unk_1	unknown	unknown
Unk_2	unknown	unknown
