source	target
B cells	B cell
Basal 1	respiratory basal cell
Basal 2	respiratory basal cell
Ciliated 1	lung ciliated cell
Ciliated 2	lung ciliated cell
Club	club cell
Dendritic cells	dendritic cell
Endothelial	endothelial cell
Fibroblasts	fibroblast of lung
Goblet 2	lung goblet cell
Goblet_1	lung goblet cell
Ionocytes	ionocyte
Luminal_Macrophages lung macrophage
Lymphatic	endothelial cell of lymphatic vessel
Mast cells	mast cell
Mesothelium	mesothelial cell
Neutrophils	neutrophil
Smooth muscle	bronchial smooth muscle cell
T and NK	alpha-beta T cell
Type 2 alveolar	type II pneumocyte
Type_1_alveolar	type I pneumocyte
