source	target	target_id
24	24-year-old stage	HsapDv:0000118
28	28-year-old stage	HsapDv:0000122
38	38-year-old stage	HsapDv:0000132
42	42-year-old stage	HsapDv:0000136
44	44-year-old stage	HsapDv:0000138
48	48-year-old stage	HsapDv:0000142
52	52-year-old stage	HsapDv:0000146
54	54-year-old stage	HsapDv:0000148
57	57-year-old stage	HsapDv:0000151
58	58-year-old stage	HsapDv:0000152
59	59-year-old stage	HsapDv:0000153
60	60-year-old stage	HsapDv:0000154
61	61-year-old stage	HsapDv:0000155
63	63-year-old stage	HsapDv:0000157
64	64-year-old stage	HsapDv:0000158
66	66-year-old stage	HsapDv:0000160
68	68-year-old stage	HsapDv:0000162
70	70-year-old stage	HsapDv:0000164
74	74-year-old stage	HsapDv:0000168
