source	target	target_id
10.0	10-year-old human stage	HsapDv:0000104
15.0	15-year-old human stage	HsapDv:0000109
18.0	18-year-old human stage	HsapDv:0000112
21.0	21-year-old human stage	HsapDv:0000115
22.0	22-year-old human stage	HsapDv:0000116
23.0	23-year-old human stage	HsapDv:0000117
24.0	24-year-old human stage	HsapDv:0000118
25.0	25-year-old human stage	HsapDv:0000119
26.0	26-year-old human stage	HsapDv:0000120
27.0	27-year-old human stage	HsapDv:0000121
29.0	29-year-old human stage	HsapDv:0000123
30.0	30-year-old human stage	HsapDv:0000124
31.0	31-year-old human stage	HsapDv:0000125
32.5	32-year-old human stage	HsapDv:0000126
33.0	33-year-old human stage	HsapDv:0000127
34.0	34-year-old human stage	HsapDv:0000128
35.0	35-year-old human stage	HsapDv:0000129
36.0	36-year-old human stage	HsapDv:0000130
37.0	37-year-old human stage	HsapDv:0000131
38.0	38-year-old human stage	HsapDv:0000132
40.0	40-year-old human stage	HsapDv:0000134
41.0	41-year-old human stage	HsapDv:0000135
42.0	42-year-old human stage	HsapDv:0000136
42.5	42-year-old human stage	HsapDv:0000136
44.0	44-year-old human stage	HsapDv:0000138
46.0	46-year-old human stage	HsapDv:0000140
47.0	47-year-old human stage	HsapDv:0000141
49.0	49-year-old human stage	HsapDv:0000143
50.0	50-year-old human stage	HsapDv:0000144
51.0	50-year-old human stage	HsapDv:0000144
52.0	52-year-old human stage	HsapDv:0000146
52.5	50-year-old human stage	HsapDv:0000144
53.0	53-year-old human stage	HsapDv:0000147
54.0	54-year-old human stage	HsapDv:0000148
55.0	55-year-old human stage	HsapDv:0000149
56.0	56-year-old human stage	HsapDv:0000150
57.0	57-year-old human stage	HsapDv:0000151
57.5	57-year-old human stage	HsapDv:0000151
58.0	58-year-old human stage	HsapDv:0000152
59.0	59-year-old human stage	HsapDv:0000153
61.0	61-year-old human stage	HsapDv:0000155
62.0	62-year-old human stage	HsapDv:0000156
62.5	62-year-old human stage	HsapDv:0000156
63.0	63-year-old human stage	HsapDv:0000157
64.0	64-year-old human stage	HsapDv:0000158
66.0	66-year-old human stage	HsapDv:0000160
67.5	67-year-old human stage	HsapDv:0000161
68.0	68-year-old human stage	HsapDv:0000162
69.0	69-year-old human stage	HsapDv:0000163
71.0	71-year-old human stage	HsapDv:0000165
75.0	75-year-old human stage	HsapDv:0000169
76.0	76-year-old human stage	HsapDv:0000170
nan	unknown	unknown
