source,target
B cells,"neural cell:ectodermal cell:brain macroglial cell:neuronal stem cell:|||:B cell:B-2 B cell:B-1 B cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Be1 Cell:Be2 cell:regulatory B cell:B-1b B cell"
BAM,"brain macroglial cell:brain pericyte:neuronal stem cell:brain microvascular endothelial cell:|||:choroid plexus epithelial cell:fibroblast of choroid plexus:choroid-plexus macrophage:basophil progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mesenchymal stem cell:basophil mast progenitor cell:band form neutrophil:bronchioalveolar stem cell:|||:plasmatocyte:blastoderm cell:astrocyte of the cerebral cortex:IgE plasma cell"
ILC,"oligodendrocyte:neuronal stem cell:neural cell:leptomeningeal cell:|||:Langerhans cell:choroid plexus epithelial cell:fibroblast of choroid plexus:choroid-plexus macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:group 3 innate lymphoid cell:group 2 innate lymphoid cell:ILC1:alpha-beta intraepithelial T cell:|||:band form neutrophil:oncocyte:band form basophil:neutrophil"
Microglia,"oligodendrocyte:brain macroglial cell:central nervous system macrophage:brain microvascular endothelial cell:|||:microglial cell:choroid-plexus macrophage:choroid plexus epithelial cell:immature microglial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mature microglial cell:glial cell:macroglial cell:microconidium"
Monocytes/Mdc,"oligodendrocyte:oligodendrocyte precursor cell:neuronal stem cell:ectodermal cell:|||:monocyte:CD14-positive monocyte:myeloid dendritic cell:ionocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:monoblast:oenocyte:primordial germ cell:promonocyte:|||:oncocyte:group 2 innate lymphoid cell:group 2 innate lymphoid cell, mouse:oocyte"
NK cells,"neural cell:neuronal stem cell:ectodermal cell:leptomeningeal cell:|||:natural killer cell:decidual natural killer cell, human:Kolmer-Agduhr neuron:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type N enteroendocrine cell:mucous neck cell:pro-NK cell:pro-T cell"
Neutorphils,"neural cell:neuronal stem cell:oligodendrocyte:ectodermal cell:|||:neutrophil:choroid plexus epithelial cell:band form neutrophil:oncocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophil progenitor cell:mature neutrophil:neutrophilic metamyelocyte:immature neutrophil:|||:neutrophilic myeloblast:neutrophilic promyelocyte:neutrophilic myelocyte:neutrophillic cytoplasm"
Neutrophils,":|||:neutrophil:mature neutrophil:band form neutrophil:neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophil progenitor cell:immature neutrophil:neuroblast (sensu Vertebrata):neutrophilic metamyelocyte"
T/NKT cells,"neural cell:neuronal stem cell:ectodermal cell:leptomeningeal cell:|||:T cell:decidual natural killer cell, human:Kolmer-Agduhr neuron:natural killer cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:DN3 thymocyte:DN2 thymocyte:pro-T cell:type N enteroendocrine cell:|||:nodal myocyte:type D enteroendocrine cell:B cell:Feyrter cell"
cDC1,"ectodermal cell:neuronal stem cell:central nervous system macrophage:oligodendrocyte:|||:conventional dendritic cell:choroid plexus epithelial cell:fibroblast of choroid plexus:choroid-plexus macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmacytoid dendritic cell:common dendritic progenitor:multi-ciliated epithelial cell:interstitial cell of Cajal:|||:immature CD16-positive myeloid dendritic cell:CD11c-low plasmacytoid dendritic cell:CD1c-positive myeloid dendritic cell:mature CD8_alpha-negative CD11b-negative dendritic cell"
