source	target
ASDC_mDC	vascular associated smooth muscle cell:mesodermal cell:|||:myeloid dendritic cell:blood cell:common myeloid progenitor:macrophage dendritic cell progenitor:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:conventional dendritic cell:CD16-positive myeloid dendritic cell:bronchioalveolar stem cell:smooth muscle cell:|||:pancreatic stellate cell:mesenchymal stem cell:mucosal type mast cell:multi-ciliated epithelial cell
ASDC_pDC	vascular associated smooth muscle cell:mesodermal cell:|||:plasmacytoid dendritic cell:blood cell:adult endothelial progenitor cell:myeloid dendritic cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD8_alpha-negative plasmactyoid dendritic cell:CD8_alpha-positive plasmactyoid dendritic cell:cardioblast:conventional dendritic cell:|||:bronchioalveolar stem cell:pancreatic stellate cell:common myeloid progenitor:professional antigen presenting cell
B intermediate kappa	mesodermal cell:vascular associated smooth muscle cell:|||:polychromatophilic erythroblast:type II pneumocyte:megakaryocyte-erythroid progenitor cell:type I pneumocyte:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:strial intermediate cell:intermediate monocyte:intermediate epitheliocyte:intermediate trophoblast cell:|||:CD4-intermediate, CD8-positive double-positive thymocyte:epithelial cell of intermediate tubule:CD4-positive, CD8-intermediate double-positive thymocyte:hematopoietic multipotent progenitor cell
B intermediate lambda	mesodermal cell:vascular associated smooth muscle cell:|||:polychromatophilic erythroblast:intermediate monocyte:type I muscle cell:enterochromaffin-like cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:strial intermediate cell:intermediate mesodermal cell:intermediate muscle cell:CD14-positive, CD16-low monocyte:|||:epithelial cell of intermediate tubule:CD4-positive, CD8-intermediate double-positive thymocyte:gamma-delta intraepithelial T cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell
B memory kappa	mesodermal cell:vascular associated smooth muscle cell:|||:blood cell:hematopoietic multipotent progenitor cell:megakaryocyte-erythroid progenitor cell:professional antigen presenting cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell:double negative memory B cell:IgG memory B cell:IgM memory B cell:|||:pro-NK cell:basophil progenitor cell:eosinophil progenitor cell:megakaryocyte progenitor cell
B memory lambda	mesodermal cell:vascular associated smooth muscle cell:|||:blood cell:megakaryocyte-erythroid progenitor cell:eosinophil progenitor cell:basophil progenitor cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell:double negative memory B cell:memory T cell:memory B cell:|||:CD8-positive, alpha-beta memory T cell:CD4-positive, alpha-beta memory T cell:CD4-positive, alpha-beta memory T cell, CD45RO-positive:CD8-positive, alpha-beta memory T cell, CD45RO-positive
B naive kappa	vascular associated smooth muscle cell:mesodermal cell:|||:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:megakaryocyte progenitor cell:alpha-beta intraepithelial T cell:pro-NK cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:DN2 thymocyte:DN3 thymocyte:DN4 thymocyte:native cell:|||:gamma-delta intraepithelial T cell:hematopoietic multipotent progenitor cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell
B naive lambda	mesodermal cell:vascular associated smooth muscle cell:|||:gamma-delta intraepithelial T cell:intraepithelial lymphocyte:basophil progenitor cell:myeloid dendritic cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:native cell:IgE plasmablast:naive T cell:naive B cell:|||:CD4-negative CD8-negative gamma-delta intraepithelial T cell:common lymphoid progenitor:CD4-positive, alpha-beta intraepithelial T cell:myofibroblast cell
CD14 Mono	vascular associated smooth muscle cell:mesodermal cell:|||:CD14-positive, CD16-negative classical monocyte:blood cell:CD14-positive, CD16-positive monocyte:mature neutrophil:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD14-positive monocyte:CD16-positive myeloid dendritic cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:CAP motoneuron:|||:spinal cord motor neuron:neutrophil:Kit-positive granulocyte monocyte progenitor:CD34-positive, CD38-positive granulocyte monocyte progenitor
CD16 Mono	vascular associated smooth muscle cell:mesodermal cell:|||:CD14-positive, CD16-positive monocyte:CD14-positive, CD16-negative classical monocyte:blood cell:neutrophil:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD16-positive myeloid dendritic cell:CD14-positive monocyte:CAP motoneuron:ILC1, human:|||:common dendritic progenitor:mononuclear cell:classical monocyte:anterior horn motor neuron
CD4 CTL	mesodermal cell:vascular associated smooth muscle cell:|||:primitive red blood cell:enucleate erythrocyte:blood cell:erythrocyte:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:DN4 thymocyte:CD4-positive, alpha-beta thymocyte:parafollicular cell:type D enteroendocrine cell:|||:naive thymus-derived CD4-positive, alpha-beta T cell:activated CD4-positive, alpha-beta T cell, human:CD8-positive, alpha-beta thymocyte:effector CD4-positive, alpha-beta T cell
CD4 Naive	mesodermal cell:vascular associated smooth muscle cell:|||:blood cell:myeloid dendritic cell:CD4-positive, alpha-beta intraepithelial T cell:common dendritic progenitor:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD38-negative naive B cell:CD38-positive naive B cell:DN2 thymocyte:DN3 thymocyte:|||:double negative thymocyte:IgG-positive double negative memory B cell:IgG-negative double negative memory B cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell
CD4 Proliferating	mesodermal cell:vascular associated smooth muscle cell:|||:type I pneumocyte:type II pneumocyte:mature neutrophil:neutrophil:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:prolactin secreting cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:protein secreting cell:ecdysteroid secreting cell:|||:exhausted T cell:oligodendrocyte:Fraction C precursor B cell:lymphoid tissue–inducer cell
CD4 TCM_1	mesodermal cell:vascular associated smooth muscle cell:|||:blood cell:plasmacytoid dendritic cell:myeloid dendritic cell:common dendritic progenitor:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:conventional dendritic cell:double negative thymocyte:|||:T-helper 17 cell:transit amplifying cell:activated CD4-positive, alpha-beta T cell, human:effector memory CD4-positive, alpha-beta T cell
CD4 TCM_2	mesodermal cell:vascular associated smooth muscle cell:|||:blood cell:common dendritic progenitor:common myeloid progenitor, CD34-positive:transit amplifying cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD4-positive, alpha-beta thymocyte:conventional dendritic cell:|||:effector CD4-positive, alpha-beta T cell:activated CD4-positive, alpha-beta T cell, human:T-helper 1 cell:common myeloid progenitor
CD4 TCM_3	mesodermal cell:vascular associated smooth muscle cell:|||:blood cell:common myeloid progenitor, CD34-positive:common myeloid progenitor:transit amplifying cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD4-positive, alpha-beta thymocyte:conventional dendritic cell:|||:T-helper 1 cell:activated CD4-positive, alpha-beta T cell, human:effector CD4-positive, alpha-beta T cell:central memory CD4-positive, alpha-beta T cell
CD4 TEM_1	mesodermal cell:vascular associated smooth muscle cell:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:blood cell:common dendritic progenitor:conventional dendritic cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD8-positive, alpha-beta regulatory T cell:CD14-positive dermal dendritic cell:CD4-positive, alpha-beta thymocyte:|||:central memory CD4-positive, alpha-beta T cell:T-helper 1 cell:effector memory CD4-positive, alpha-beta T cell:activated CD4-positive, alpha-beta T cell, human
CD4 TEM_2	mesodermal cell:vascular associated smooth muscle cell:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:blood cell:common dendritic progenitor:conventional dendritic cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD8-positive, alpha-beta regulatory T cell:double negative T regulatory cell:double negative thymocyte:|||:T-helper 17 cell:effector CD4-positive, alpha-beta T cell:activated CD4-positive, alpha-beta T cell, human:CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell
CD4 TEM_3	mesodermal cell:vascular associated smooth muscle cell:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:blood cell:myeloid dendritic cell:plasmacytoid dendritic cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD8-positive, alpha-beta regulatory T cell:double negative T regulatory cell:CD4-positive, alpha-beta thymocyte:|||:conventional dendritic cell:central memory CD4-positive, alpha-beta T cell:effector CD4-positive, alpha-beta T cell:activated CD4-positive, alpha-beta T cell, human
CD4 TEM_4	mesodermal cell:vascular associated smooth muscle cell:|||:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:blood cell:myeloid dendritic cell:plasmacytoid dendritic cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:CD8-positive, alpha-beta regulatory T cell:CD4-positive, alpha-beta thymocyte:double negative thymocyte:|||:effector CD4-positive, alpha-beta T cell:activated CD4-positive, alpha-beta T cell, human:effector memory CD4-positive, alpha-beta T cell:T-helper 17 cell
CD8 Naive	mesodermal cell:vascular associated smooth muscle cell:|||:blood cell:alpha-beta intraepithelial T cell:intraepithelial lymphocyte:plasmacytoid dendritic cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:CD38-negative naive B cell:CD38-positive naive B cell:CD8-positive, alpha-beta regulatory T cell:B220-positive CD38-positive naive B cell:|||:conventional dendritic cell:double negative memory B cell:CD4-positive, alpha-beta intraepithelial T cell:IgG-negative double negative memory B cell
