source	target
Aorta	aorta
Bladder	urinary bladder
Blood	blood
Bone	bone
Bone_marrow	bone marrow
Brain_cortex	cerebral cortex
Brainstem	brainstem
Colon	colon
Diaphragm	diaphragm
Eye_retina	retina
Fat	flat
Heart	heart
Hypothalamus_Pituitary	hypothalamus-pituitary axis
Kidney	kidney
Limb_muscle	limb muscle
Liver	liver
Lung	lung
Mammary_gland	mammary gland
Pancreas	pancreas
Skin	skin of body
Small_intestine	small intestine
Spleen	spleen
Testes	testis
Thymus	thymus
Tongue	tongue
Trachea	trachea
Uterus	uterus
