source,target
Adventitial Fibroblast,"mesodermal cell:pneumocyte:epithelial cell of lower respiratory tract:epithelial cell of lung:|||:fibroblast:ooblast:iridoblast:skin fibroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:kidney interstitial fibroblast:cardiac ventricle fibroblast:fibroblast of cardiac tissue:kidney interstitial myofibroblast:|||:pulmonary interstitial fibroblast:glioblast:keratocyte:type II pneumocyte"
Airway Smooth Muscle,"pneumocyte:basal cell of epithelium of lobular bronchiole:mesothelial cell of visceral pleura:brush cell of lobular bronchiole:|||:smooth muscle cell:arcuate artery smooth muscle cell:interlobulary artery smooth muscle cell:kidney artery smooth muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:aortic smooth muscle cell:smooth muscle myoblast:vascular associated smooth muscle cell:bronchial smooth muscle cell:|||:enteric smooth muscle cell:sphincter associated smooth muscle cell:mesenchymal stem cell:kidney pelvis smooth muscle cell"
Alox5+ Lymphocyte,"pneumocyte:epithelial cell of lung:mesodermal cell:epithelial cell of lower respiratory tract:|||:lymphocyte:T cell:B cell:oocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:B-1a B cell:Bm5 B cell:pro-T cell:pro-B cell:|||:phagocyte:thymocyte:CD8-positive, alpha-beta cytotoxic T cell:intraepithelial lymphocyte"
Alveolar Epithelial Type 1,"pneumocyte:epithelial cell of lung:basal cell of epithelium of lobular bronchiole:mesothelial cell of visceral pleura:|||:epithelial cell:type II pneumocyte:type I pneumocyte:adepithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:olfactory epithelial cell:glandular epithelial cell:simple columnar epithelial cell:T-helper 1 cell:|||:kidney glomerular epithelial cell:sensory epithelial cell:lens epithelial cell:Vgamma5-negative CD8alpha alpha positive gamma-delta intraepithelial T cell"
Alveolar Epithelial Type 2,"pneumocyte:epithelial cell of lung:basal cell of epithelium of lobular bronchiole:mesothelial cell of visceral pleura:|||:epithelial cell:type II pneumocyte:type I pneumocyte:adepithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:simple columnar epithelial cell:glandular epithelial cell:olfactory epithelial cell:follicular epithelial cell:|||:kidney glomerular epithelial cell:lens epithelial cell:sensory epithelial cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell"
Alveolar Epithelial Type 2 Cell,"pneumocyte:epithelial cell of lung:mesothelial cell of visceral pleura:basal cell of epithelium of lobular bronchiole:|||:plasmacytoid dendritic cell:Be2 cell:B-2 B cell:R2 photoreceptor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type II pneumocyte:type I pneumocyte:olfactory epithelial cell:simple columnar epithelial cell:|||:type N enteroendocrine cell:type D enteroendocrine cell:T cell:M cell of gut"
Alveolar Fibroblast,"pneumocyte:mesodermal cell:epithelial cell of lower respiratory tract:brush cell of lobular bronchiole:|||:fibroblast:ooblast:iridoblast:gallbladder fibroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:ovarian fibroblast:marrow fibroblast:pulmonary interstitial fibroblast:keratocyte:|||:glioblast:myoblast:skin fibroblast:splenic fibroblast"
Alveolar Macrophage,"pneumocyte:mesodermal cell:brush cell of lobular bronchiole:basal cell of epithelium of lobular bronchiole:|||:macrophage:alveolar macrophage:alternatively activated macrophage:inflammatory macrophage:|||:alveolar macrophage:cartwheel heterochromatin:eosinophilic promyelocyte:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Kupffer cell:tonsillar macrophage:pleural macrophage:perivascular macrophage"
Artery,"mesodermal cell:pneumocyte:epithelial cell of lower respiratory tract:mesothelial cell of visceral pleura:|||:interlobulary artery endothelial cell:smooth muscle cell of the umbilical artery:endothelial cell of artery:fibroblast of pulmonary artery:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:induced T-regulatory cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:effector memory CD8-positive, alpha-beta T cell, terminally differentiated:mast cell:|||:kidney artery smooth muscle cell:arcuate artery endothelial cell:arcuate artery cell:arcuate artery smooth muscle cell"
B,"mesodermal cell:brush cell of lobular bronchiole:basal cell of epithelium of lobular bronchiole:serous cell of epithelium of lobular bronchiole:|||:lung microvascular endothelial cell:type II pneumocyte:type I pneumocyte:epithelial cell of lung:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:enucleate erythrocyte:nucleate erythrocyte:erythrocyte:basophil progenitor cell:|||:visible light photoreceptor cell:smooth muscle cell of large intestine:bronchial smooth muscle cell:smooth muscle cell of bladder"
