source	target
B_memory	memory B cell
B_naive	naive B cell
B_plasma	plasma cell
B_pro/pre	early pro-B cell
CD4+T	CD4-positive, alpha-beta T cell
CD4+Tmem	effector memory CD4-positive, alpha-beta T cell
CD8+T	CD8-positive, alpha-beta T cell
CD8+Tmem	effector memory CD8-positive, alpha-beta T cell
CD8αα	CD8-positive, alpha-beta thymocyte
DC1	dendritic cell
DC2	dendritic cell
DN	double negative thymocyte
DP	double-positive, alpha-beta thymocyte
ETP	early lymphoid progenitor
Endo	endothelial cell
Epi_GCM2	epithelial cell
Ery	erythrocyte
Fb_1	fibroblast
Fb_2	fibroblast
Fb_cycling	fibroblast
ILC3	group 3 innate lymphoid cell
Lymph	early lymphoid progenitor
Mac	thymic medullary macrophage
Mast	mast cell
Mgk	megakaryocyte
Mono	monocyte
NK	natural killer cell
NKT	immature NK T cell
NMP	common myeloid progenitor
T(agonist)	T cell
TEC(myo)	epithelial cell of thymus
TEC(neuro)	epithelial cell of thymus
Treg	regulatory T cell
VSMC	vascular associated smooth muscle cell
aDC	dendritic cell
cTEC	cortical thymic epithelial cell
mTEC(I)	medullary thymic epithelial cell
mTEC(II)	medullary thymic epithelial cell
mTEC(III)	medullary thymic epithelial cell
mTEC(IV)	medullary thymic epithelial cell
mcTEC	epithelial cell of thymus
pDC	plasmacytoid dendritic cell
αβT(entry)	alpha-beta T cell
γδT	gamma-delta T cell
