source	target	target_id
72-days	19th week post-fertilization human stage	HsapDv:0000056
74-days	19th week post-fertilization human stage	HsapDv:0000056
85-days	19th week post-fertilization human stage	HsapDv:0000056
89-days	19th week post-fertilization human stage	HsapDv:0000056
90-days	19th week post-fertilization human stage	HsapDv:0000056
94-days	19th week post-fertilization human stage	HsapDv:0000056
96-days	19th week post-fertilization human stage	HsapDv:0000056
100-days	19th week post-fertilization human stage	HsapDv:0000056
110-days	19th week post-fertilization human stage	HsapDv:0000056
112-days	19th week post-fertilization human stage	HsapDv:0000056
113-days	19th week post-fertilization human stage	HsapDv:0000056
115-days	19th week post-fertilization human stage	HsapDv:0000056
117-days	19th week post-fertilization human stage	HsapDv:0000056
119-days	19th week post-fertilization human stage	HsapDv:0000056
120-days	19th week post-fertilization human stage	HsapDv:0000056
122-days	19th week post-fertilization human stage	HsapDv:0000056
125-days	19th week post-fertilization human stage	HsapDv:0000056
129-days	19th week post-fertilization human stage	HsapDv:0000056
