source	target
Alveolar_Type1	type I pneumocyte
Alveolar_Type2	type II pneumocyte
B_CD27neg	B cell
B_CD27pos	B cell
B_Hypermutation	B cell
B_cells	B cell
B_follicular	follicular B cell
B_mantle	B cell
Blood_vessel	blood vessel endothelial cell
Ciliated	ciliated cell
DC_1	dendritic cell
DC_2	dendritic cell
DC_Monocyte_Dividing	myeloid leukocyte
DC_activated	dendritic cell
DC_plasmacytoid	plasmacytoid dendritic cell
Dendritic_Cells	dendritic cell
Epi_basal	basal cell
Epi_dividing	epithelial cell
Epi_stratified	epithelial cell of stratum germinativum of esophagus
Epi_suprabasal	epithelal cell
Epi_upper	epithelal cell
Fibroblast	fibroblast
Glands_duct	glandular cell of esophagus
Glands_mucous	epithelial cell of esophagus
ILC	innate lymphoid cell
Lymph_vessel	endothelial cell of lymphatic vessel
Macrophage	macrophage
Macrophage_Dividing	macrophage
Macrophage_MARCOneg	macrophage
Macrophage_MARCOpos	macrophage
Mast_cell	mast cell
Mast_cells	mast cell
Mono_macro	myeloid leukocyte
Monocyte	monocyte
Muscle_cells	muscle cell
NK	 natural killer cell
NK_CD160pos	CD16-positive, CD56-dim natural killer cell, human
NK_Dividing	natural killer cell
NK_FCGR3Apos	natural killer cell
NK_T_CD8_Cytotoxic	mature NK T cell
NK_dividing	natural killer cell
Plasma_IgG	IgG short lived plasma cell
Plasma_IgM	IgM plasma cell
Plasma_cells	plasma cell
Plasmablast	plasmablast
Platelet	platelet
T_CD4	CD4-positive, alpha-beta T cell
T_CD4_conv	CD4-positive, alpha-beta T cell
T_CD4_fh	T follicular helper cell
T_CD4_naive	naive thymus-derived CD4-positive, alpha-beta T cell
T_CD4_reg	CD4-positive, alpha-beta regulatory T cell
T_CD8	CD8-positive, alpha-beta T cell
T_CD8_CTL	CD8-positive, alpha-beta cytotoxic T cell
T_CD8_CytT	CD8-positive, alpha-beta cytotoxic T cell
T_CD8_MAIT	mucosal invariant T cell
T_CD8_activated	activated CD8-positive, alpha-beta T cell, human
T_CD8_gd	C-neganegative typr CD8-positive, alpha-beta T cell"
T_cell_dividing	T cell
T_cells_Dividing	T cell
T_regulatory	regulatory T cell
