"name","id"
"adventitial cell", "nan"
"alveolar bipotent progenitor", "nan"
"alveolar epithelial cell type I", "nan"
"alveolar epithelial cell type II", "nan"
"alveolar macrophage", "nan"
"B cell", "CL_0000236"
"basophil", "nan"
"bronchial smooth muscle cell", "nan"
"CD4-positive, alpha-beta T cell", "nan"
"CD8-positive, alpha-beta T cell", "nan"
"ciliated cell", "nan"
"clara cell", "nan"
"classical monocyte", "nan"
"club cell of bronchiole", "nan"
"endothelial cell of lymphatic vessel", "nan"
"eosinophil", "nan"
"fibroblast of lung", "nan"
"glial cell", "CL_0000125"
"intermediate monocyte", "nan"
"lung macrophage", "nan"
"lung neuroendocrine cell", "nan"
"monocyte progenitor", "nan"
"myeloid dendritic cell", "nan"
"neutrophil", "nan"
"NK cell", "CL_0000623"
"non-classical monocyte", "nan"
"nuocyte", "nan"
"pericyte cell", "nan"
"plasma cell", "nan"
"plasmacytoid dendritic cell", "nan"
"proliferative cell", "nan"
"pulmonary interstitial fibroblast", "nan"
"regulatory T cell", "nan"
"respiratory basal cell", "nan"
"smooth muscle cell of the pulmonary artery", "nan"
"type I pneumocyte", "nan"
"type II pneumocyte", "nan"
"vein endothelial cell", "nan"
"unknown", "nan"
