"name","id"
"b cell", "nan"
"dendritic cell", "nan"
"endothelial cell", "CL:0000115"
"erythroblast", "nan"
"glial cell", "nan"
"granulocyte", "nan"
"macrophage", "nan"
"pancreatic A cell", "CL:0000171"
"pancreatic acinar cell", "CL:0002064"
"pancreatic B cell", "CL:0000169"
"pancreatic D cell", "CL:0000173"
"pancreatic ductal cell", "CL:0002079"
"pancreatic PP cell", "CL:0002275"
"pancreatic stellate cell", "CL:0002410"
"smooth muscle cell", "nan"
"stromal cell", "nan"
"t cell", "nan"
"lymphatic endothelial cell", "nan"
"unknown", "nan"
