"name","id"
"B cell", "CL:0000236"
"endothelial cell", "CL:0000115"
"macrophage", "CL:0000235"
"stromal cell", "CL:0000499"
"erythroblast", "nan"
"granulocyte", "nan"
"basophil", "nan"
"decidual stromal cell", "nan"
"dendritic cell", "nan"
"endodermal cell", "nan"
"monocyte progenitor", "nan"
"HSPC", "nan"
"megakaryocte", "nan"
"monocyte", "nan"
"NK cell", "nan"
"NKT cell", "nan"
"PE lineage cell", "nan"
"trophoblast progenitor", "nan"
"labyrinthine trophoblast", "nan"
"spiral artery trophoblast giant cells", "nan"
"invasive spongiotrophoblast", "nan"
"spongiotrophoblast", "nan"
"unknown", "nan"
