,name,ensg,type
11915,Gnai3,ENSMUSG00000000001,protein_coding
8485,Pbsn,ENSMUSG00000000003,protein_coding
47507,Cdc45,ENSMUSG00000000028,protein_coding
9749,Scml2,ENSMUSG00000000037,protein_coding
39914,Apoh,ENSMUSG00000000049,protein_coding
40286,Narf,ENSMUSG00000000056,protein_coding
19056,Cav2,ENSMUSG00000000058,protein_coding
40367,Klf6,ENSMUSG00000000078,protein_coding
14547,Scmh1,ENSMUSG00000000085,protein_coding
35704,Cox5a,ENSMUSG00000000088,protein_coding
39152,Tbx2,ENSMUSG00000000093,protein_coding
39154,Tbx4,ENSMUSG00000000094,protein_coding
51115,Zfy2,ENSMUSG00000000103,protein_coding
39346,Ngfr,ENSMUSG00000000120,protein_coding
39797,Wnt3,ENSMUSG00000000125,protein_coding
38283,Wnt9a,ENSMUSG00000000126,protein_coding
50617,Fer,ENSMUSG00000000127,protein_coding
26110,Xpo6,ENSMUSG00000000131,protein_coding
7359,Tfe3,ENSMUSG00000000134,protein_coding
39922,Axin2,ENSMUSG00000000142,protein_coding
18586,Brat1,ENSMUSG00000000148,protein_coding
18588,Gna12,ENSMUSG00000000149,protein_coding
26686,Slc22a18,ENSMUSG00000000154,protein_coding
48729,Itgb2l,ENSMUSG00000000157,protein_coding
48727,Igsf5,ENSMUSG00000000159,protein_coding
35552,Pih1d2,ENSMUSG00000000167,protein_coding
35553,Dlat,ENSMUSG00000000168,protein_coding
35549,Sdhd,ENSMUSG00000000171,protein_coding
21437,Fgf23,ENSMUSG00000000182,protein_coding
21436,Fgf6,ENSMUSG00000000183,protein_coding
21441,Ccnd2,ENSMUSG00000000184,protein_coding
4180,Gpr107,ENSMUSG00000000194,protein_coding
34426,Nalcn,ENSMUSG00000000197,protein_coding
39992,Btbd17,ENSMUSG00000000202,protein_coding
39074,Slfn4,ENSMUSG00000000204,protein_coding
26662,Th,ENSMUSG00000000214,protein_coding
26658,Ins2,ENSMUSG00000000215,protein_coding
26038,Scnn1g,ENSMUSG00000000216,protein_coding
9223,Drp2,ENSMUSG00000000223,protein_coding
26665,Tspan32,ENSMUSG00000000244,protein_coding
4406,Lhx2,ENSMUSG00000000247,protein_coding
21523,Clec2g,ENSMUSG00000000248,protein_coding
41327,Gmpr,ENSMUSG00000000253,protein_coding
38178,Glra1,ENSMUSG00000000263,protein_coding
9393,Mid2,ENSMUSG00000000266,protein_coding
39249,Trim25,ENSMUSG00000000275,protein_coding
39250,Dgke,ENSMUSG00000000276,protein_coding
39244,Scpep1,ENSMUSG00000000278,protein_coding
38815,Mnt,ENSMUSG00000000282,protein_coding
28000,Itgb2,ENSMUSG00000000290,protein_coding
27210,Hddc2,ENSMUSG00000000295,protein_coding
27213,Tpd52l1,ENSMUSG00000000296,protein_coding
38314,Pemt,ENSMUSG00000000301,protein_coding
31422,Cdh1,ENSMUSG00000000303,protein_coding
7158,Cdh4,ENSMUSG00000000305,protein_coding
5905,Ckmt1,ENSMUSG00000000308,protein_coding
38620,Bcl6b,ENSMUSG00000000317,protein_coding
38617,Clec10a,ENSMUSG00000000318,protein_coding
38627,Alox12,ENSMUSG00000000320,protein_coding
47491,Arvcf,ENSMUSG00000000325,protein_coding
47494,Comt,ENSMUSG00000000326,protein_coding
12036,Rtca,ENSMUSG00000000339,protein_coding
12038,Dbt,ENSMUSG00000000340,protein_coding
46978,Dazap2,ENSMUSG00000000346,protein_coding
7845,Mcts1,ENSMUSG00000000355,protein_coding
6493,Rem1,ENSMUSG00000000359,protein_coding
33539,Rnf17,ENSMUSG00000000365,protein_coding
28048,Trappc10,ENSMUSG00000000374,protein_coding
37434,Ccm2,ENSMUSG00000000378,protein_coding
37440,Wap,ENSMUSG00000000381,protein_coding
37437,Tbrg4,ENSMUSG00000000384,protein_coding
48744,Tmprss2,ENSMUSG00000000385,protein_coding
4654,Fap,ENSMUSG00000000392,protein_coding
4653,Gcg,ENSMUSG00000000394,protein_coding
21427,Ndufa9,ENSMUSG00000000399,protein_coding
9826,Egfl6,ENSMUSG00000000402,protein_coding
14786,Lck,ENSMUSG00000000409,protein_coding
14781,Tssk3,ENSMUSG00000000411,protein_coding
19085,Cttnbp2,ENSMUSG00000000416,protein_coding
52935,Galnt1,ENSMUSG00000000420,protein_coding
28802,Myf5,ENSMUSG00000000435,protein_coding
21101,Mkrn2,ENSMUSG00000000439,protein_coding
21096,Pparg,ENSMUSG00000000440,protein_coding
21103,Raf1,ENSMUSG00000000441,protein_coding
26196,Sept1,ENSMUSG00000000486,protein_coding
46433,Pdgfb,ENSMUSG00000000489,protein_coding
46992,Acvrl1,ENSMUSG00000000530,protein_coding
46998,Grasp,ENSMUSG00000000531,protein_coding
46994,Acvr1b,ENSMUSG00000000532,protein_coding
38321,Tom1l2,ENSMUSG00000000538,protein_coding
2806,Gpa33,ENSMUSG00000000544,protein_coding
47125,Zfp385a,ENSMUSG00000000552,protein_coding
47126,Itga5,ENSMUSG00000000555,protein_coding
16875,Gabra2,ENSMUSG00000000560,protein_coding
11837,Wdr77,ENSMUSG00000000561,protein_coding
11833,Adora3,ENSMUSG00000000562,protein_coding
11836,Atp5f1,ENSMUSG00000000563,protein_coding
39964,Sox9,ENSMUSG00000000567,protein_coding
17389,Hnrnpd,ENSMUSG00000000568,protein_coding
48819,Dynlt1c,ENSMUSG00000000579,protein_coding
37532,C1d,ENSMUSG00000000581,protein_coding
38162,Gm2a,ENSMUSG00000000594,protein_coding
15662,Krit1,ENSMUSG00000000600,protein_coding
22252,Clcn4,ENSMUSG00000000605,protein_coding
33107,Vmn2r88,ENSMUSG00000000606,protein_coding
38028,Grm6,ENSMUSG00000000617,protein_coding
20465,Sema4f,ENSMUSG00000000627,protein_coding
